altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
2550.49,8.785161141858962e-14,8.5748214995484e-14,25616000000000.0,439.86,80.32,-82.84,57051.57,FM,ST101,EUV2017_216_16_10_45_ST101
2563.99,8.094104782519261e-14,7.900310829592513e-14,23601000000000.0,439.98,80.32,-82.94,57065.28,FM,ST101,EUV2017_216_16_10_45_ST101
2577.64,7.450719308513662e-14,7.272329679797353e-14,21725000000000.0,440.11,80.31,-83.05,57078.99,FM,ST101,EUV2017_216_16_10_45_ST101
2591.3,6.859120191957341e-14,6.694894987155216e-14,20000000000000.0,440.23,80.31,-83.15,57092.7,FM,ST101,EUV2017_216_16_10_45_ST101
2604.8,6.321022212898287e-14,6.169680475412889e-14,18431000000000.0,440.35,80.3,-83.26,57106.41,FM,ST101,EUV2017_216_16_10_45_ST101
2618.45,5.819963482875804e-14,5.680618396601201e-14,16970000000000.0,440.47,80.3,-83.36,57120.13,FM,ST101,EUV2017_216_16_10_45_ST101
2632.1,5.359030605976271e-14,5.2307214534643704e-14,15626000000000.0,440.59,80.3,-83.47,57133.84,FM,ST101,EUV2017_216_16_10_45_ST101
2645.59,4.939595406238079e-14,4.821328624999829e-14,14403000000000.0,440.7,80.29,-83.57,57147.55,FM,ST101,EUV2017_216_16_10_45_ST101
2659.24,4.5493114673157065e-14,4.440389100230697e-14,13265000000000.0,440.81,80.29,-83.68,57161.27,FM,ST101,EUV2017_216_16_10_45_ST101
2672.89,4.189893569257142e-14,4.0895766029037635e-14,12217000000000.0,440.92,80.28,-83.79,57174.98,FM,ST101,EUV2017_216_16_10_45_ST101
2686.37,3.8627135361007767e-14,3.7702301120164596e-14,11263000000000.0,441.02,80.28,-83.89,57188.7,FM,ST101,EUV2017_216_16_10_45_ST101
2700.02,3.558168599577871e-14,3.472976774586768e-14,10375000000000.0,441.13,80.28,-84.0,57202.41,FM,ST101,EUV2017_216_16_10_45_ST101
2713.66,3.277699174928735e-14,3.199222518561991e-14,9557200000000.0,441.23,80.27,-84.1,57216.13,FM,ST101,EUV2017_216_16_10_45_ST101
2727.3,3.0196247777063396e-14,2.947327094670276e-14,8804700000000.0,441.33,80.27,-84.21,57229.84,FM,ST101,EUV2017_216_16_10_45_ST101
2740.78,2.784699911131801e-14,2.7180269413602104e-14,8119700000000.0,441.42,80.27,-84.31,57243.56,FM,ST101,EUV2017_216_16_10_45_ST101
2754.42,2.5657567946045228e-14,2.5043258933702157e-14,7481300000000.0,441.52,80.26,-84.41,57257.27,FM,ST101,EUV2017_216_16_10_45_ST101
2768.06,2.3642015477638565e-14,2.3075964041726598e-14,6893600000000.0,441.61,80.26,-84.52,57270.99,FM,ST101,EUV2017_216_16_10_45_ST101
2781.69,2.1786280509704502e-14,2.1264660202951753e-14,6352500000000.0,441.7,80.25,-84.62,57284.71,FM,ST101,EUV2017_216_16_10_45_ST101
2795.17,2.0096879206425412e-14,1.9615707567615426e-14,5859900000000.0,441.79,80.25,-84.73,57298.42,FM,ST101,EUV2017_216_16_10_45_ST101
2808.8,1.8521682254342406e-14,1.8078224933815228e-14,5400600000000.0,441.87,80.25,-84.83,57312.14,FM,ST101,EUV2017_216_16_10_45_ST101
2822.44,1.7071321289753027e-14,1.6662589388781258e-14,4977700000000.0,441.96,80.24,-84.94,57325.86,FM,ST101,EUV2017_216_16_10_45_ST101
2836.07,1.5735507632369335e-14,1.535875859003278e-14,4588200000000.0,442.04,80.24,-85.04,57339.58,FM,ST101,EUV2017_216_16_10_45_ST101
2849.7,1.450498146993219e-14,1.4157694429337134e-14,4229400000000.0,442.12,80.23,-85.15,57353.3,FM,ST101,EUV2017_216_16_10_45_ST101
2863.32,1.3371854814220838e-14,1.3051697777459094e-14,3899000000000.0,442.2,80.23,-85.25,57367.02,FM,ST101,EUV2017_216_16_10_45_ST101
2876.79,1.2339557225331256e-14,1.2044116081892233e-14,3598000000000.0,442.28,80.23,-85.36,57380.74,FM,ST101,EUV2017_216_16_10_45_ST101
2890.42,1.1376879706390044e-14,1.1104487570444999e-14,3317300000000.0,442.35,80.22,-85.46,57394.46,FM,ST101,EUV2017_216_16_10_45_ST101
2904.04,1.0489652509560362e-14,1.0238502903856472e-14,3058600000000.0,442.43,80.22,-85.57,57408.18,FM,ST101,EUV2017_216_16_10_45_ST101
2917.66,9.672731294698243e-15,9.441140910886285e-15,2820400000000.0,442.5,80.22,-85.67,57421.9,FM,ST101,EUV2017_216_16_10_45_ST101
2931.28,8.919599897621326e-15,8.706041441296642e-15,2600800000000.0,442.57,80.21,-85.78,57435.62,FM,ST101,EUV2017_216_16_10_45_ST101
2944.9,8.225799890204841e-15,8.028852813345892e-15,2398500000000.0,442.64,80.21,-85.88,57449.35,FM,ST101,EUV2017_216_16_10_45_ST101
2958.52,7.586186932304819e-15,7.404553855793668e-15,2212000000000.0,442.7,80.2,-85.99,57463.07,FM,ST101,EUV2017_216_16_10_45_ST101
2972.14,6.996988507815683e-15,6.8294623763970355e-15,2040200000000.0,442.77,80.2,-86.09,57476.79,FM,ST101,EUV2017_216_16_10_45_ST101
2985.76,6.453746188612662e-15,6.2992266934143425e-15,1881800000000.0,442.84,80.2,-86.19,57490.51,FM,ST101,EUV2017_216_16_10_45_ST101
2999.37,5.953373370609375e-15,5.81083410410137e-15,1735900000000.0,442.9,80.19,-86.3,57504.24,FM,ST101,EUV2017_216_16_10_45_ST101
3012.99,5.491754581690645e-15,5.360267671465824e-15,1601300000000.0,442.96,80.19,-86.4,57517.96,FM,ST101,EUV2017_216_16_10_45_ST101
3026.6,5.06648912978929e-15,4.9451841822622e-15,1477300000000.0,443.02,80.18,-86.51,57531.69,FM,ST101,EUV2017_216_16_10_45_ST101
3040.05,4.678605882934102e-15,4.566587870738573e-15,1364200000000.0,443.08,80.18,-86.61,57545.41,FM,ST101,EUV2017_216_16_10_45_ST101
3053.66,4.316787292808352e-15,4.213432160166135e-15,1258700000000.0,443.14,80.18,-86.72,57559.14,FM,ST101,EUV2017_216_16_10_45_ST101
3067.27,3.9830910954696274e-15,3.887725519041034e-15,1161400000000.0,443.19,80.17,-86.82,57572.86,FM,ST101,EUV2017_216_16_10_45_ST101
3080.88,3.6751165988507435e-15,3.5871247341177645e-15,1071600000000.0,443.25,80.17,-86.92,57586.59,FM,ST101,EUV2017_216_16_10_45_ST101
3094.64,3.388336783625007e-15,3.3072111747048052e-15,987980000000.0,443.3,80.16,-87.03,57600.32,FM,ST101,EUV2017_216_16_10_45_ST101
3108.25,3.126935713109513e-15,3.05206872674432e-15,911760000000.0,443.35,80.16,-87.13,57614.04,FM,ST101,EUV2017_216_16_10_45_ST101
3121.85,2.8858376383622124e-15,2.816743167945814e-15,841460000000.0,443.41,80.16,-87.24,57627.77,FM,ST101,EUV2017_216_16_10_45_ST101
